country,city,univercity,program,tuition_USD,living_cost_index
"Czech Republic",Prague,"Charles University",Medicine,9800,54.6
Mexico,Tijuana,"CETYS Universidad","Information Technology",9500,45.4
Thailand,"Hat Yai","Prince of Songkla University","Software Engineering",9500,43.2
Thailand,"Nakhon Ratchasima","Suranaree University","Data Engineering",9000,41.8
China,Beijing,"Tsinghua University","Computer Engineering",8900,52.3
China,Beijing,"Tsinghua University","Computer Science",8900,51.2
China,Beijing,"Peking University","Data Science",8500,51.2
Thailand,Songkhla,"Thaksin University","Computer Engineering",8500,42.5
Peru,Lima,PUCP,"Data Analytics",8500,44.8
Ecuador,Quito,"Universidad San Francisco","Computer Science",8500,45.8
Malaysia,"Kuala Lumpur","University of Malaya","Computer Science",8500,55.4
China,Shenzhen,SUSTech,"Artificial Intelligence",8200,58.4
China,Shanghai,"Shanghai Jiao Tong University","Artificial Intelligence",8200,48.9
Brazil,"Rio de Janeiro",PUC-Rio,"Information Systems",8000,53.2
Malaysia,"Johor Bahru",UTM,"Data Analytics",8000,51.8
"Saudi Arabia",Riyadh,"King Saud University","Computer Science",7800,52.4
China,Shanghai,"Fudan University","Software Engineering",7800,48.9
Cyprus,Famagusta,"Eastern Mediterranean University","Software Engineering",7800,59.8
Ecuador,Guayaquil,ESPOL,"Software Development",7800,43.2
Malaysia,Cyberjaya,"Multimedia University","Data Analytics",7800,53.2
Cyprus,Girne,"Girne American University","Computer Engineering",7600,57.8
China,Hangzhou,"Zhejiang University","Computer Engineering",7500,45.3
Peru,Trujillo,"Universidad Nacional de Trujillo","Software Development",7500,40.5
Panama,"Panama City","Universidad Tecnologica","Artificial Intelligence",7500,51.2
Malaysia,Penang,USM,"Information Systems",7500,52.1
Malaysia,Melaka,UTeM,"Software Engineering",7500,50.2
Cyprus,Paphos,"Neapolis University","Data Science",7400,58.5
China,Nanjing,"Nanjing University","Information Technology",7200,44.1
Peru,Piura,"Universidad de Piura","Information Systems",7200,38.5
Ecuador,Cuenca,"Universidad de Cuenca","Information Systems",7200,42.5
Malaysia,Bangi,UKM,"Artificial Intelligence",7200,51.5
