country,program,total_cost_USD
Algeria,"Computer Engineering",1600
Algeria,"Computer Science",1730
Algeria,"Computer Engineering",1460
Algeria,"Data Analytics",1780
Algeria,"Information Systems",1340
Argentina,"Data Analytics",600
Argentina,"Computer Science",720
Argentina,"Software Engineering",850
Argentina,"Software Development",610
Argentina,"Data Science",650
Argentina,"Computer Engineering",630
Australia,"Computer Science",43700
Australia,"Computer Science",39900
Australia,"Artificial Intelligence",31600
Australia,"Computing Science",32450
Australia,"Software Development",31600
Australia,"Data Analytics",33250
Australia,"Information Systems",31800
Australia,"Artificial Intelligence",35050
Australia,"Computer Science",33700
Australia,Physics,32200
Australia,"Computer Engineering",33600
Australia,"Data Science",32850
Australia,"Information Technology",33400
Australia,"Computer Science",27300
Australia,"Software Engineering",36800
Australia,"Computer Science",35000
Australia,"Computer Science",39200
Australia,"Computer Science",32900
Australia,Biotechnology,33800
Australia,"Computer Science",42900
Australia,"Data Science",34300
Australia,"Computer Science",39500
Australia,"Computer Science",32200
Australia,"Computer Science",38600
Australia,"Computer Science",41600
Australia,"Computer Science",31600
Australia,"Computer Science",38100
Australia,"Computer Science",41100
Australia,"Computer Science",31100
Australia,"Computer Science",37700
Australia,"Computer Science",40700
Australia,"Computer Science",30700
Australia,"Computer Science",37400
Australia,"Computer Science",40400
Australia,"Computer Science",30400
Australia,"Computer Science",36500
Australia,"Computer Science",42200
Australia,"Computer Science",29500
Australia,"Computer Science",36000
Australia,"Computer Science",39000
Australia,"Computer Science",29000
Australia,"Computer Science",35400
Australia,"Computer Science",38400
Australia,"Computer Science",28400
Australia,"Computer Science",34900
Australia,"Computer Science",37900
Australia,"Computer Science",27900
Australia,"Computer Science",34300
Australia,"Computer Science",37300
Australia,"Computer Science",33700
Australia,"Computer Science",46100
Australia,"Computer Science",41400
Australia,"Computer Science",34700
Australia,"Computer Science",44700
Australia,"Computer Science",41700
Australia,"Computer Science",35600
Australia,"Computer Science",45600
Australia,"Computer Science",42600
Australia,"Computer Science",36200
Australia,"Computer Science",46200
Australia,"Computer Science",43200
Australia,"Computer Science",36100
Australia,"Computer Science",40700
Australia,"Computer Science",43100
Australia,"Computer Science",36700
Australia,"Computer Science",46900
Australia,"Computer Science",43900
Australia,"Computer Science",37600
Australia,"Computer Science",48000
Australia,"Computer Science",44900
Australia,"Computer Science",37900
Australia,Engineering,44500
Australia,"Computer Science",48700
Australia,"Computer Science",45400
Australia,Chemistry,30100
Australia,"Computer Science",35400
Australia,"Data Science",31200
Australia,"Computer Science",43700
Australia,Business,37700
Australia,"Computer Science",40700
Australia,Chemistry,29050
Australia,"Computer Science",44400
Australia,"Climate Science",32300
Australia,Physics,28000
Australia,Mathematics,30050
Australia,"Computer Science",34400
Austria,"Software Development",3310
Austria,"Social Sciences",3110
Austria,"Software Engineering",3460
Austria,"Mechanical Engineering",3260
Austria,"Artificial Intelligence",3210
Austria,"Data Analytics",3310
Austria,Mechatronics,3290
Austria,"Data Science",3230
Austria,"Industrial Engineering",3210
Bahrain,"Software Development",7830
Bahrain,"Data Science",10350
Bahrain,"Data Engineering",8810
Bahrain,"Information Technology",9380
Bahrain,"Software Engineering",8430
Bangladesh,"Software Engineering",2470
Bangladesh,"Computer Engineering",2760
Bangladesh,"Computer Science",3050
Bangladesh,"Artificial Intelligence",2700
Bangladesh,"Software Development",2580
Belgium,"Artificial Intelligence",5730
Belgium,"Biomedical Sciences",5230
Belgium,"Computer Engineering",5180
Belgium,"Data Science",5300
Belgium,"Artificial Intelligence",5130
Belgium,"Data Engineering",5260
Belgium,"Computer Science",5330
Belgium,"Computer Science",5480
