country,city,univercity
Germany,Munich,"Technical University of Munich"
Germany,Heidelberg,"Heidelberg University"
Germany,Berlin,"Free University of Berlin"
Germany,Dresden,"TU Dresden"
Germany,Stuttgart,"University of Stuttgart"
Germany,Hamburg,"TU Hamburg"
Germany,Aachen,"RWTH Aachen"
Germany,Karlsruhe,KIT
Germany,Darmstadt,"TU Darmstadt"
Germany,Braunschweig,"TU Braunschweig"
Germany,Jena,"University of Jena"
Germany,Hannover,"Leibniz University"
Germany,Freiburg,"University of Freiburg"
Germany,Munich,"TU Munich"
Germany,Berlin,"Humboldt University"
Germany,Hamburg,"University of Hamburg"
Germany,Dresden,"TU Dresden"
Germany,Frankfurt,"Goethe University"
Germany,Stuttgart,"University of Stuttgart"
Germany,Heidelberg,"Heidelberg University"
Germany,Cologne,"University of Cologne"
Germany,Bonn,"University of Bonn"
Germany,Aachen,"RWTH Aachen"
Germany,Berlin,"Technical University Berlin"
Germany,Munich,"LMU Munich"
Germany,Dresden,"TU Dresden"
Germany,Hamburg,"TU Hamburg"
Germany,Stuttgart,"University of Stuttgart"
Germany,Karlsruhe,KIT
Germany,Darmstadt,"TU Darmstadt"
Germany,Bremen,"University of Bremen"
Germany,Aachen,"RWTH Aachen"
Germany,Jena,"University of Jena"
