item_id,item_name,category,price,is_available
1,Mushroom Risotto,Main,8.79,1
2,Sushi Platter,Appetizer,9.85,1
3,Turkey Club Sandwich,Main,12.75,1
4,Chicken Alfredo,Main,15.98,1
5,Caesar Salad,Appetizer,8.74,0
6,Shrimp Scampi,Main,24.09,1
7,Pork Schnitzel,Main,17.52,1
8,Chicken Salad,Appetizer,9.63,1
9,Long Island Tea,Drink,5.87,1
10,Hot Cocoa,Drink,4.65,0
11,Lemon Elderflower Spritzer,Drink,6.96,1
12,Havana Cocktail,Drink,7.12,1
13,Steak Frites,Main,17.05,1
14,Vodka Tonic,Drink,9.85,1
15,Spaghetti Carbonara,Main,14.32,1
16,Bobby Burns Cocktail,Drink,10.25,1
17,Chicken Tikka Masala,Main,21.25,0
18,Beef Stroganoff,Main,31.96,1
19,Eggplant Parmesan,Main,16.55,1
20,Grilled Salmon,Main,18.54,1
21,Vegetable Stir-fry,Appetizer,13.25,1
22,Pulled Pork Sandwich,Main,19.52,0
23,Vegetable Curry,Main,13.21,1
24,Ice Frappe,Drink,9.65,1
25,Shrimp And Grits,Main,14.39,0
26,Fries with Grilled Cheese,Appetizer,12.16,1
27,Chicken Parmesan,Main,27.73,1
28,Thai Iced Coffee,Drink,9.52,1
29,Seafood Paella,Main,37.58,1
30,Lobster Bisque,Main,28.52,0
