order_item_id,order_id,item_id,quantity
1,118,11,3
2,96,7,3
3,239,4,1
4,275,12,2
5,191,20,5
6,239,5,5
7,192,8,2
8,147,5,2
9,140,25,3
10,248,30,2
11,88,1,5
12,204,26,5
13,160,30,2
14,190,3,1
15,39,6,1
16,104,1,3
17,142,26,3
18,159,20,5
19,141,14,5
20,246,8,2
21,102,23,4
22,55,12,4
23,199,20,4
24,87,25,1
25,136,2,1
26,183,14,3
27,219,13,2
28,60,27,4
29,283,27,3
30,18,29,4
31,255,22,1
32,55,12,2
33,99,22,3
34,236,14,1
35,284,9,5
36,12,18,4
37,110,9,3
38,162,24,4
39,14,20,1
40,213,21,5
41,190,9,1
42,90,26,5
43,127,2,4
44,145,15,1
45,129,28,5
46,142,30,1
47,129,6,4
48,127,21,2
49,93,5,5
50,110,6,4
51,8,7,2
52,225,30,4
53,59,27,2
54,169,6,5
55,216,10,5
56,124,10,2
57,282,8,2
58,94,29,4
59,88,23,3
60,296,26,3
61,166,24,2
62,92,13,1
63,276,10,2
64,72,26,1
65,110,10,5
66,240,5,5
67,198,23,4
68,202,5,2
69,45,4,3
70,64,8,2
71,146,1,4
72,172,27,4
73,10,5,4
74,69,30,1
75,256,16,2
76,66,24,4
77,216,21,3
78,84,26,2
79,138,14,2
80,155,13,2
81,42,12,4
82,278,9,3
83,23,14,5
84,262,28,4
85,216,8,4
86,18,29,3
87,211,14,1
88,64,5,1
89,259,29,5
90,244,3,2
91,159,24,4
92,20,1,5
93,79,14,5
94,59,4,1
95,245,21,1
96,240,1,1
97,179,12,1
98,206,16,1
99,82,27,4
100,212,26,5
101,173,7,2
102,259,27,3
103,169,13,4
104,230,8,2
105,103,13,3
106,241,21,3
107,11,27,5
108,245,19,1
109,278,10,5
110,208,15,3
111,246,19,3
112,24,23,2
113,114,25,5
114,282,21,3
115,285,30,4
116,279,2,5
117,83,13,4
118,173,14,5
119,138,14,3
120,13,29,2
121,45,23,5
122,285,12,5
123,284,15,5
124,268,23,2
125,170,29,2
126,107,20,1
127,21,11,2
128,114,9,1
129,293,24,5
130,159,28,2
131,210,7,5
132,166,19,3
133,138,21,3
134,4,14,2
135,232,7,1
136,243,5,3
137,91,7,5
138,71,26,5
139,9,17,3
140,106,1,4
141,256,13,4
142,125,25,5
143,66,27,5
144,263,13,1
145,265,18,3
146,20,23,4
147,163,16,4
148,185,28,3
149,124,22,2
150,116,29,1
151,163,23,5
152,290,19,4
153,287,30,1
154,269,24,3
155,221,7,2
156,122,8,1
157,165,21,4
158,217,12,1
159,179,23,2
160,98,15,4
161,81,6,1
162,108,19,2
163,154,2,1
164,247,24,3
165,225,5,1
166,223,25,2
167,249,14,4
168,284,16,4
169,81,1,2
170,112,20,2
171,10,7,5
172,198,13,2
173,195,5,1
174,121,25,1
175,238,5,2
176,129,22,4
177,13,3,2
178,224,13,2
179,285,9,4
180,96,5,4
181,133,9,2
182,191,12,3
183,245,24,2
184,2,23,5
185,177,16,3
186,115,28,1
187,199,27,2
188,265,2,3
189,64,21,4
190,56,3,3
191,60,9,5
