order_id,customer_id,order_date,total_amount,order_status
1,9,2024-02-07 01:25,97.72,Completed
2,125,2024-02-13 18:18,74.38,Completed
3,27,2024-02-10 13:28,108.94,Completed
4,106,2024-02-14 16:02,23.41,Completed
5,15,2024-02-01 16:09,148.67,Completed
6,7,2024-02-18 13:01,42.7,Completed
7,80,2024-02-28 09:14,27.6,Completed
8,128,2024-02-22 15:24,104.28,Completed
9,97,2024-02-12 10:57,104.14,Completed
10,135,2024-02-17 20:34,108.2,Completed
11,74,2024-02-03 14:07,92.87,Completed
12,111,2024-02-21 14:25,115.92,Completed
13,172,2024-02-05 21:29,60.13,Completed
14,46,2024-02-05 09:34,115.99,Completed
15,140,2024-02-15 10:11,84.42,Completed
16,198,2024-02-14 20:22,94.69,Completed
17,62,2024-02-01 11:28,19.84,Completed
18,25,2024-02-23 17:45,85.04,Completed
19,8,2024-02-19 19:37,138.33,Completed
20,120,2024-02-09 18:38,97.86,Completed
21,199,2024-02-01 13:30,43.14,Completed
22,122,2024-02-09 15:33,54.83,Completed
23,177,2024-02-05 18:04,146.75,Completed
24,167,2024-02-08 23:55,103,Completed
25,35,2024-02-25 19:46,50.93,Completed
26,123,2024-02-24 10:26,147.81,Completed
27,114,2024-02-10 18:57,114.33,Completed
28,179,2024-02-24 12:11,145.32,Completed
29,83,2024-02-21 12:14,65.24,Completed
30,21,2024-02-05 16:41,111.74,Completed
31,152,2024-02-14 18:00,116.73,Completed
32,68,2024-02-28 18:00,68.08,Completed
33,92,2024-02-03 19:37,147.15,Completed
34,200,2024-02-05 12:22,20.56,Completed
35,14,2024-02-14 11:11,52.61,Completed
36,143,2024-02-25 10:19,95.14,Completed
37,175,2024-02-04 14:36,100.6,Completed
38,177,2024-02-14 13:13,145.53,Completed
39,95,2024-02-12 17:21,135.16,Completed
40,24,2024-02-01 22:17,125.54,Completed
41,24,2024-02-15 23:17,88.7,Completed
42,167,2024-02-06 18:19,110.21,Completed
43,173,2024-02-01 21:18,95.74,Completed
44,7,2024-02-02 18:46,54.16,Completed
45,69,2024-02-02 09:44,110.84,Completed
46,43,2024-02-09 09:17,82.09,Completed
47,179,2024-02-03 18:42,101.56,Completed
48,135,2024-02-17 12:01,34.07,Completed
49,191,2024-02-06 13:01,86.09,Completed
50,109,2024-02-21 11:38,58.54,Completed
51,34,2024-02-09 13:58,57.52,Completed
52,53,2024-02-05 23:19,117.2,Completed
53,71,2024-02-04 14:22,98.83,Completed
54,103,2024-02-01 12:49,61.68,Completed
55,155,2024-02-10 16:00,81.07,Completed
56,162,2024-02-04 17:42,92.49,Completed
57,101,2024-02-17 18:32,60.55,Completed
58,73,2024-02-13 19:27,140.25,Completed
59,131,2024-02-01 19:43,46.13,Completed
60,8,2024-02-10 15:15,143.35,Completed
61,25,2024-02-22 14:30,40.34,Completed
62,115,2024-02-10 10:36,89.83,Completed
63,62,2024-02-25 21:39,20.05,Completed
64,26,2024-02-02 11:37,116.09,Completed
65,113,2024-02-15 13:54,96.55,Completed
66,10,2024-02-13 13:24,86.33,Completed
67,75,2024-02-26 15:07,60.16,Completed
68,100,2024-02-05 19:57,74.93,Completed
69,148,2024-02-04 16:54,69.32,Completed
70,179,2024-02-04 19:52,118.99,Completed
71,165,2024-02-24 14:19,142.22,Completed
72,154,2024-02-15 20:48,144.61,Completed
73,161,2024-02-08 21:44,148.29,Completed
74,80,2024-02-07 19:00,97.34,Completed
75,114,2024-02-04 18:15,32.6,Completed
76,15,2024-02-03 21:24,132.74,Completed
77,90,2024-02-01 12:08,44.82,Completed
78,134,2024-02-28 20:52,45.58,Completed
79,146,2024-02-21 22:22,67.06,Completed
80,99,2024-02-15 18:31,134.05,Completed
81,178,2024-02-26 18:20,77.79,Completed
82,191,2024-02-15 17:09,74.65,Completed
83,97,2024-02-21 15:25,122.31,Completed
84,88,2024-02-23 16:37,118.12,Completed
85,139,2024-02-10 19:52,148.96,Completed
86,98,2024-02-24 16:46,22.68,Completed
87,88,2024-02-20 09:43,27.39,Completed
88,121,2024-02-17 16:57,27.62,Completed
89,153,2024-02-14 09:01,113.34,Completed
90,58,2024-02-23 10:48,56.04,Completed
91,96,2024-02-11 00:50,129.12,Completed
92,106,2024-02-13 19:27,120.52,Completed
93,180,2024-02-15 20:32,147.39,Completed
94,105,2024-02-04 11:46,80.74,Completed
95,60,2024-02-08 22:12,101.06,Completed
96,171,2024-02-28 18:34,24.76,Completed
97,171,2024-02-01 18:45,119.57,Completed
98,120,2024-02-27 21:38,105.72,Completed
99,121,2024-02-05 18:38,142.52,Completed
100,87,2024-02-24 12:36,141.57,Completed
101,53,2024-02-24 23:42,81.6,Completed
102,105,2024-02-07 19:43,60.47,Completed
103,170,2024-02-28 18:29,112.83,Completed
104,15,2024-02-12 13:26,133.28,Completed
105,94,2024-02-26 16:38,106.6,Completed
106,155,2024-02-01 20:38,71.68,Completed
107,106,2024-02-13 16:42,32.01,Completed
108,74,2024-02-16 11:44,63.31,Completed
109,179,2024-02-19 15:45,133.03,Completed
110,152,2024-02-14 16:56,18.05,Completed
111,162,2024-02-22 13:59,122.37,Completed
112,161,2024-02-01 21:50,115.55,Completed
113,23,2024-02-04 14:56,57.42,Completed
114,87,2024-02-09 17:51,144.93,Completed
115,49,2024-02-21 15:20,128.55,Completed
116,176,2024-02-26 18:26,108.35,Completed
117,14,2024-02-05 11:23,29.61,Completed
118,29,2024-02-05 13:07,141.51,Completed
119,192,2024-02-26 20:31,48.84,Completed
120,121,2024-02-22 20:06,117.6,Completed
121,20,2024-02-21 18:57,65.58,Completed
122,161,2024-02-23 19:31,113.21,Completed
123,118,2024-02-13 23:07,111.92,Completed
124,71,2024-02-24 15:45,63.5,Completed
125,87,2024-02-07 14:49,36.63,Completed
126,104,2024-02-06 12:19,16.7,Completed
127,13,2024-02-22 20:39,117.27,Completed
128,90,2024-02-02 23:30,89.61,Completed
129,38,2024-02-27 20:24,111.84,Completed
130,196,2024-02-16 11:04,36.72,Completed
131,89,2024-02-15 12:38,78.2,Completed
132,199,2024-02-11 23:02,17.33,Completed
133,73,2024-02-20 20:33,22.62,Completed
134,183,2024-02-14 19:46,27.18,Completed
135,193,2024-02-27 12:29,39.95,Completed
136,41,2024-02-28 13:37,46.41,Completed
137,49,2024-02-11 14:35,50.12,Completed
138,127,2024-02-08 23:58,27.82,Completed
139,65,2024-02-18 18:47,77.41,Completed
140,141,2024-02-25 16:01,25.19,Completed
141,100,2024-02-03 15:28,142.02,Completed
142,145,2024-02-05 13:23,107.12,Completed
143,44,2024-02-11 14:14,49.78,Completed
144,139,2024-02-24 13:49,102.88,Completed
145,112,2024-02-19 12:40,39.41,Completed
146,187,2024-02-20 20:20,33.7,Completed
147,124,2024-02-24 12:57,114.06,Completed
148,154,2024-02-12 10:32,60.2,Completed
149,109,2024-02-24 21:42,27.07,Completed
150,33,2024-02-11 13:25,39.63,Completed
151,164,2024-02-18 21:59,34.95,Completed
152,200,2024-02-09 16:23,54.21,Completed
153,63,2024-02-24 13:12,96.09,Completed
154,75,2024-02-14 14:41,75.69,Completed
155,129,2024-02-14 16:28,43.59,Completed
156,198,2024-02-16 11:53,17.9,Completed
157,48,2024-02-25 10:07,95.22,Completed
158,118,2024-02-26 00:48,84.31,Completed
159,98,2024-02-17 20:18,76.93,Completed
160,162,2024-02-24 15:23,148.37,Completed
161,9,2024-02-21 18:31,80.62,Completed
162,50,2024-02-07 12:05,16.31,Completed
163,198,2024-02-13 20:45,111.74,Completed
164,78,2024-02-20 17:25,37.3,Completed
165,60,2024-02-08 12:55,85.66,Completed
166,2,2024-02-28 19:21,109.79,Completed
167,114,2024-02-20 09:29,46.78,Completed
168,70,2024-02-17 16:14,143.69,Completed
169,152,2024-02-03 09:58,25.87,Completed
170,136,2024-02-23 11:55,113.17,Completed
171,110,2024-02-27 14:14,114.41,Completed
172,72,2024-02-07 19:30,134.63,Completed
173,142,2024-02-15 20:15,89.56,Completed
174,117,2024-02-18 20:12,50.68,Completed
175,29,2024-02-22 12:10,103.96,Completed
176,55,2024-02-24 18:42,61.56,Completed
177,69,2024-02-25 22:50,34.95,Completed
178,123,2024-02-25 21:36,82.18,Completed
179,37,2024-02-01 15:35,70.86,Completed
180,118,2024-02-26 19:50,89.66,Completed
181,45,2024-02-19 18:45,55.14,Completed
182,191,2024-02-23 15:39,91.7,Completed
183,11,2024-02-13 23:10,82.7,Completed
184,199,2024-02-07 10:43,36.79,Completed
185,105,2024-02-28 21:19,96.07,Completed
186,179,2024-02-04 20:55,80.31,Completed
187,31,2024-02-10 22:09,127.89,Completed
188,181,2024-02-05 18:31,107.55,Completed
189,196,2024-02-15 18:55,111.75,Completed
190,2,2024-02-20 16:12,117.35,Completed
191,115,2024-02-10 18:29,125.34,Completed
192,156,2024-02-15 09:18,99.68,Completed
193,26,2024-02-06 17:07,32.36,Completed
194,178,2024-02-09 16:13,89.61,Completed
195,5,2024-02-08 12:12,76.23,Completed
196,13,2024-02-12 16:09,85.36,Completed
197,53,2024-02-13 20:42,28.39,Completed
198,149,2024-02-19 16:45,140.33,Completed
199,99,2024-02-26 12:51,66.27,Completed
200,25,2024-02-04 17:56,72.11,Completed
201,51,2024-02-07 13:31,60.85,Completed
202,147,2024-02-13 17:12,56.58,Completed
203,129,2024-02-22 23:50,105.54,Completed
204,5,2024-02-18 13:11,74.62,Completed
205,138,2024-02-15 16:18,115.03,Completed
206,5,2024-02-14 19:27,71.98,Completed
207,173,2024-02-23 14:04,67.07,Completed
208,193,2024-02-14 09:23,121.04,Completed
209,126,2024-02-23 19:01,114.06,Completed
210,199,2024-02-27 18:57,92.99,Completed
211,187,2024-02-06 21:57,76.27,Completed
212,69,2024-02-01 10:53,51.38,Completed
213,156,2024-02-15 14:51,31.51,Completed
214,159,2024-02-14 14:12,97.86,Completed
215,53,2024-02-14 22:55,84.83,Completed
216,150,2024-02-13 16:02,70.67,Completed
217,133,2024-02-15 16:01,24.3,Completed
218,69,2024-02-03 18:05,102.74,Completed
219,135,2024-02-10 12:08,55.49,Completed
220,131,2024-02-25 18:53,106.01,Completed
221,73,2024-02-21 13:32,68.03,Completed
222,93,2024-02-02 19:12,97.61,Completed
223,184,2024-02-07 21:24,84.45,Completed
224,107,2024-02-27 23:21,106.47,Completed
225,98,2024-02-09 18:29,21.57,Completed
226,58,2024-02-12 14:55,84.62,Completed
227,182,2024-02-18 13:45,61.47,Completed
228,18,2024-02-15 17:55,141.51,Completed
229,47,2024-02-11 15:49,118.09,Completed
230,110,2024-02-25 20:31,132.73,Completed
231,159,2024-02-20 20:39,79.86,Completed
232,52,2024-02-02 14:44,106.59,Completed
233,54,2024-02-17 19:00,62.82,Completed
234,182,2024-02-13 09:05,42.54,Completed
235,22,2024-02-14 14:28,57.15,Completed
236,18,2024-02-08 20:05,22.49,Completed
237,109,2024-02-14 20:54,17.38,Completed
238,118,2024-02-15 18:03,126.99,Completed
239,177,2024-02-07 09:57,81.42,Cancelled
240,104,2024-02-12 15:02,119.58,Completed
241,190,2024-02-07 17:38,149.29,Cancelled
242,107,2024-02-06 14:34,115.48,Cancelled
243,158,2024-02-14 15:02,49.99,Cancelled
244,165,2024-02-16 14:51,111.46,Cancelled
245,60,2024-02-13 19:08,144.98,Completed
246,184,2024-02-18 09:23,120.49,Cancelled
247,5,2024-02-20 16:03,71.54,Cancelled
248,197,2024-02-14 20:40,33.7,Completed
249,3,2024-02-19 16:43,83.35,Cancelled
250,61,2024-02-08 15:23,109.41,Cancelled
251,182,2024-02-20 23:18,116.73,Cancelled
252,175,2024-02-17 18:32,58,Cancelled
253,82,2024-02-23 11:49,129.82,Completed
254,146,2024-02-02 23:47,78,Cancelled
255,164,2024-02-08 12:07,91.6,Completed
256,32,2024-02-16 19:34,79.55,Cancelled
257,48,2024-02-18 19:46,66.66,Cancelled
258,190,2024-02-13 16:32,116.29,Cancelled
259,12,2024-02-22 08:11,134.7,Cancelled
260,151,2024-02-20 15:03,16.48,Cancelled
261,186,2024-02-07 10:59,77.94,Completed
262,183,2024-02-19 19:52,141.16,Cancelled
263,121,2024-02-01 20:03,61.04,Completed
264,188,2024-02-24 17:28,76.93,Completed
265,39,2024-02-23 21:54,93.96,Completed
266,175,2024-02-16 18:49,76.26,Completed
267,58,2024-02-14 14:13,49.14,Completed
268,108,2024-02-06 11:48,42.46,Completed
269,17,2024-02-18 15:14,121.57,Completed
270,12,2024-02-11 19:33,21.86,Completed
271,186,2024-02-09 12:50,44.36,Completed
272,87,2024-02-28 18:18,32.13,Completed
273,25,2024-02-02 22:28,47.52,Cancelled
274,175,2024-02-13 22:57,25.55,Completed
275,55,2024-02-21 19:33,133.48,Cancelled
276,109,2024-02-13 14:25,128.64,Completed
277,114,2024-02-09 14:10,92.11,Completed
278,156,2024-02-23 12:19,80.05,Cancelled
279,41,2024-02-21 19:17,116.35,Completed
280,137,2024-02-02 19:34,132,Cancelled
281,17,2024-02-01 19:51,65.28,Cancelled
282,46,2024-02-25 12:15,75.02,Completed
283,85,2024-02-20 16:53,65.18,Completed
