order_item_id,order_id,product_id,quantity,price_at_order
1,152,43,1,5426.11
2,44,15,5,84.87
3,330,91,6,3871.71
4,280,140,2,6.31
5,338,129,4,24.45
6,351,47,5,35.6
7,386,31,5,89.72
8,254,35,9,88975.61
9,176,161,3,2.43
10,303,76,7,31534.76
11,7,31,1,853.14
12,27,161,1,1459.93
13,390,30,9,4753.02
14,393,1,2,261.93
15,185,67,1,9138.28
16,224,179,7,823.46
17,439,143,6,254.93
18,229,1,8,210.25
19,289,5,4,4.76
20,114,17,8,6416.38
21,433,95,1,305.06
22,184,58,4,16.62
23,460,21,2,3211.72
24,423,130,10,237.46
25,91,195,7,65177.14
26,486,199,4,2.02
27,323,178,4,51.67
28,395,105,9,3
29,207,37,2,9310.69
30,351,101,3,323.47
31,147,78,3,6025.74
32,216,128,9,45.87
33,248,137,7,613.53
34,385,149,9,523.83
35,369,174,9,885.39
36,422,23,5,66.01
37,289,59,2,39770.36
38,8,120,9,7731.97
39,292,92,4,69830.88
40,104,79,3,9404.36
41,42,112,5,31743.03
42,395,69,1,61.41
43,191,30,7,364.16
44,434,198,4,8479.76
45,453,45,1,29.84
46,378,62,6,8933.07
47,489,9,7,768.08
48,301,138,9,1993.61
49,386,157,3,98.56
50,172,7,3,9.05
51,7,190,4,33.7
52,51,36,4,53439.63
53,199,160,1,8
54,243,168,1,4175.34
55,495,103,10,86250.7
56,25,90,10,3.69
57,187,144,6,7193.93
58,222,64,5,62.5
59,248,11,8,3.12
60,231,175,1,5215.77
61,187,171,1,4.6
62,277,182,4,1.32
63,7,158,7,56521
64,429,57,8,34946.5
65,91,46,10,6339.47
66,303,188,3,1.41
67,142,86,5,68169.11
68,256,13,3,66073.03
69,175,28,2,62940.02
70,494,39,10,20823.29
71,186,63,1,24.87
72,500,130,8,23475.81
73,447,142,4,3.71
74,128,9,8,53.59
75,362,103,1,154.75
76,246,27,2,85.65
77,117,124,6,2786.02
78,23,15,10,2677.95
79,216,194,6,165.68
80,99,14,7,7640.99
81,123,89,5,39255.53
82,395,50,8,5.23
83,199,97,2,8134.23
84,151,45,2,746.47
85,161,191,8,84639.19
86,291,48,1,20246.99
87,266,68,10,742.94
88,377,194,1,815.74
89,397,107,3,100.82
90,225,186,10,56.27
91,263,121,5,337.17
92,346,94,7,57096.71
93,279,135,4,7.5
94,150,160,3,9440.62
95,199,178,7,52.62
96,389,88,4,95609.01
97,92,36,5,4.02
98,120,104,4,83.73
99,386,46,2,395.08
100,286,53,9,38167.47
101,146,138,1,872.83
102,477,62,4,9.9
103,29,49,4,99696.28
