order_id,customer_id,order_date,status
1,150,2022-01-04,pending
2,66,2023-11-22,shipped
3,167,2021-09-06,shipped
4,60,2021-10-29,pending
5,58,2023-12-11,shipped
6,200,2021-12-13,cancelled
7,88,2023-09-17,cancelled
8,147,2023-04-05,pending
9,111,2021-12-16,pending
10,93,2022-07-28,shipped
11,195,2023-05-11,delivered
12,198,2024-09-13,delivered
13,59,2021-12-06,shipped
14,29,2023-08-15,shipped
15,1,2023-12-12,pending
16,130,2022-03-12,delivered
17,63,2022-09-03,delivered
18,166,2021-07-24,cancelled
19,42,2023-02-15,pending
20,57,2024-07-14,cancelled
21,1,2022-03-19,cancelled
22,90,2021-09-05,shipped
23,166,2024-11-04,cancelled
24,44,2023-02-27,shipped
25,138,2022-08-19,pending
26,52,2024-11-23,delivered
27,132,2024-04-11,pending
28,147,2021-10-22,shipped
29,17,2021-10-18,shipped
30,27,2022-09-25,shipped
31,54,2024-07-27,delivered
32,169,2024-07-19,pending
33,152,2024-08-11,cancelled
34,173,2021-12-08,cancelled
35,61,2024-06-13,pending
36,12,2022-02-18,cancelled
37,158,2023-03-20,delivered
38,61,2023-11-05,delivered
39,41,2022-02-17,pending
40,7,2022-04-25,cancelled
41,54,2024-09-16,delivered
42,85,2024-12-29,pending
43,89,2025-01-21,pending
44,171,2023-11-30,delivered
45,118,2021-04-23,cancelled
46,103,2022-06-21,delivered
47,164,2021-10-07,delivered
48,47,2023-06-15,cancelled
49,20,2022-08-23,pending
50,22,2023-05-20,cancelled
51,140,2024-06-25,pending
52,6,2024-07-09,shipped
53,136,2022-06-19,cancelled
54,145,2024-12-03,delivered
55,136,2021-10-16,shipped
56,51,2023-05-03,delivered
57,38,2022-06-19,delivered
58,33,2024-02-14,shipped
59,143,2022-09-03,shipped
60,169,2021-12-12,delivered
61,80,2022-01-01,delivered
62,122,2023-05-22,cancelled
63,59,2022-12-30,cancelled
64,121,2024-09-23,shipped
65,76,2021-08-09,cancelled
66,58,2022-03-22,pending
67,64,2021-05-18,delivered
68,33,2024-05-22,delivered
69,67,2022-11-02,shipped
70,165,2023-09-08,shipped
71,107,2023-03-15,cancelled
72,134,2022-02-06,delivered
73,155,2024-08-18,delivered
74,148,2024-12-29,delivered
75,12,2022-11-06,pending
76,93,2023-10-28,pending
77,101,2024-06-03,pending
78,44,2021-11-10,cancelled
79,127,2023-12-28,shipped
80,60,2024-06-06,pending
81,34,2024-10-04,shipped
82,50,2024-11-03,delivered
83,132,2024-12-12,shipped
84,81,2021-09-04,delivered
85,165,2021-12-31,pending
86,79,2022-01-28,shipped
87,75,2023-09-05,shipped
88,7,2022-02-08,cancelled
89,25,2024-12-28,cancelled
90,21,2022-05-01,cancelled
91,142,2022-02-06,delivered
92,98,2024-02-19,delivered
93,18,2021-12-02,cancelled
94,185,2024-04-14,shipped
95,30,2023-12-19,shipped
96,169,2022-06-22,cancelled
97,140,2023-02-26,delivered
98,142,2021-05-08,pending
99,147,2023-06-01,delivered
100,86,2023-11-14,delivered
101,135,2023-01-01,pending
102,160,2024-06-17,delivered
103,8,2023-11-11,delivered
104,150,2024-04-01,shipped
105,136,2021-12-01,shipped
106,196,2024-07-17,pending
107,20,2022-12-14,pending
108,133,2022-08-16,cancelled
109,36,2022-11-18,delivered
110,179,2023-09-08,shipped
111,55,2021-08-01,cancelled
112,56,2021-08-25,pending
113,45,2022-04-14,shipped
114,177,2024-08-25,cancelled
115,8,2021-05-27,shipped
116,170,2023-09-15,pending
117,44,2022-10-14,shipped
118,113,2024-03-31,pending
119,130,2022-07-04,shipped
120,51,2022-03-06,delivered
121,140,2022-06-17,shipped
122,179,2021-09-29,delivered
123,90,2023-03-27,cancelled
124,89,2023-06-24,pending
125,24,2021-08-18,pending
126,114,2021-06-02,shipped
127,145,2023-01-06,delivered
128,96,2024-10-07,pending
129,19,2023-01-18,delivered
130,57,2024-09-28,cancelled
131,104,2022-05-27,pending
132,6,2024-10-15,delivered
133,180,2024-11-16,delivered
134,8,2021-06-08,delivered
135,103,2023-07-23,pending
136,19,2022-09-02,shipped
137,172,2024-10-03,delivered
138,184,2023-03-16,cancelled
139,28,2021-09-17,delivered
140,109,2024-08-05,cancelled
141,58,2024-11-23,delivered
142,193,2023-07-08,delivered
143,193,2021-05-15,pending
144,27,2024-09-27,delivered
145,149,2024-10-09,shipped
146,73,2023-11-19,pending
147,73,2024-02-29,cancelled
148,54,2021-10-04,delivered
149,68,2021-12-20,cancelled
150,176,2023-02-10,shipped
151,176,2023-04-03,cancelled
152,193,2023-07-20,delivered
153,94,2022-01-06,shipped
154,158,2024-09-05,pending
155,52,2021-04-26,shipped
156,168,2022-07-01,shipped
157,137,2022-05-01,cancelled
158,50,2024-10-26,cancelled
159,49,2023-06-23,pending
160,117,2022-02-18,shipped
161,174,2023-05-15,shipped
162,42,2021-06-08,pending
163,62,2022-05-17,cancelled
164,109,2023-12-09,delivered
165,1,2023-03-16,shipped
166,35,2023-06-17,pending
167,35,2024-05-17,shipped
168,137,2022-04-29,pending
169,64,2023-10-18,pending
170,18,2022-04-02,cancelled
171,19,2023-08-29,cancelled
172,12,2021-08-01,delivered
173,126,2024-08-17,pending
174,137,2024-06-05,pending
175,22,2022-10-24,pending
176,74,2022-11-12,pending
177,102,2024-09-07,cancelled
178,181,2022-07-13,delivered
179,142,2024-08-27,shipped
180,141,2021-10-07,delivered
181,102,2021-08-21,pending
182,151,2022-09-12,pending
183,45,2023-02-16,delivered
184,16,2023-07-20,delivered
185,162,2021-08-03,shipped
186,17,2022-03-09,shipped
187,85,2023-09-09,pending
188,74,2024-05-27,delivered
189,48,2024-10-31,delivered
190,107,2022-03-10,pending
191,28,2022-12-24,delivered
192,54,2021-10-25,pending
193,158,2021-08-19,shipped
194,132,2021-08-31,cancelled
195,11,2023-06-30,shipped
196,102,2022-12-27,delivered
197,28,2024-06-09,delivered
198,77,2024-10-31,cancelled
