payment_id,order_id,amount,payment_date,method
1,202,286.43,2022-03-24,Apple Pay
2,474,48156.18,2020-12-24,Credit Card
3,189,29.15,2023-12-25,Gift Card
4,388,2480.6,2023-12-19,Apple Pay
5,178,656.7,2022-05-17,Apple Pay
6,306,36.59,2022-04-08,Gift Card
7,253,181.1,2021-12-24,Apple Pay
8,242,5.62,2021-11-07,Apple Pay
9,23,80.44,2023-06-26,Credit Card
10,8,6008.6,2020-09-22,Gift Card
11,155,1800.02,2024-12-02,Gift Card
12,194,71.59,2020-09-05,Gift Card
13,120,43.53,2023-11-22,Gift Card
14,300,522.06,2024-04-05,Gift Card
15,457,12.86,2020-01-05,Apple Pay
16,58,2992.48,2021-07-18,Apple Pay
17,44,67.91,2021-11-19,Credit Card
18,396,1710.37,2020-03-27,Credit Card
19,440,25705.59,2024-07-19,Credit Card
20,298,138.34,2022-06-26,Apple Pay
21,87,4802.41,2021-12-08,Apple Pay
22,186,4193.9,2023-03-23,Credit Card
23,159,22155.33,2024-07-04,Credit Card
24,453,504.44,2021-06-17,Credit Card
25,444,39542.46,2024-03-02,PayPal
26,166,70.54,2023-09-25,Apple Pay
27,433,27132.33,2021-04-14,PayPal
28,407,7852.51,2023-10-01,Apple Pay
29,209,94.22,2022-02-25,Gift Card
30,365,78.31,2021-11-27,PayPal
31,13,99381.12,2023-11-08,Credit Card
32,71,18.43,2021-01-05,Credit Card
33,14,49,2020-06-19,Credit Card
34,124,56637.21,2020-04-22,Apple Pay
35,438,34.7,2024-09-26,Gift Card
36,423,3.14,2020-12-12,Credit Card
37,128,318.59,2023-06-14,PayPal
38,283,2.51,2022-12-31,PayPal
39,240,7.24,2020-02-10,PayPal
40,26,669.44,2021-04-26,Credit Card
41,306,1962.43,2023-05-11,Credit Card
42,424,163.62,2020-04-13,Apple Pay
43,357,93460.7,2022-08-30,Apple Pay
44,491,1.52,2022-04-02,Credit Card
45,432,4849.61,2023-03-01,Gift Card
46,86,61.87,2020-02-14,Apple Pay
47,244,702.1,2024-07-21,Gift Card
48,376,41.42,2024-07-06,Credit Card
49,226,5244.74,2022-04-11,PayPal
50,145,6714.12,2020-06-03,PayPal
51,318,960.73,2022-03-05,Credit Card
52,211,68729.11,2021-09-25,Apple Pay
53,62,95676.86,2022-06-03,Credit Card
54,172,3106.77,2024-09-21,Credit Card
55,289,7.15,2023-08-28,Apple Pay
56,39,9.77,2020-03-14,PayPal
57,271,2036.66,2021-08-19,Apple Pay
58,176,1.12,2023-05-16,Gift Card
59,355,80.29,2020-09-08,Gift Card
60,120,430.84,2020-02-29,PayPal
61,71,35224.41,2022-06-04,Credit Card
62,140,11.18,2024-08-01,Gift Card
63,456,166.98,2023-02-08,PayPal
64,468,2908.11,2020-03-09,Gift Card
65,97,25394.35,2023-03-23,PayPal
66,459,5.86,2020-03-01,Gift Card
67,148,21315.13,2021-12-16,Apple Pay
68,173,78.58,2022-09-08,PayPal
69,6,72472.35,2021-09-29,Credit Card
70,325,94882.99,2021-06-30,Credit Card
71,338,697.09,2024-02-08,Credit Card
72,30,23.2,2021-11-12,Gift Card
73,97,72728.42,2024-06-29,PayPal
74,190,4.64,2022-09-23,Apple Pay
75,429,237.33,2021-06-24,Apple Pay
76,297,807.64,2023-09-27,Apple Pay
77,470,86420.97,2021-07-26,Apple Pay
78,161,497.21,2021-03-11,PayPal
79,123,9846.48,2023-10-09,Credit Card
80,139,99.06,2021-12-29,Credit Card
81,125,4.41,2022-06-15,Credit Card
82,295,7.1,2024-11-26,Gift Card
83,253,2.58,2021-01-06,Gift Card
84,8,30,2022-10-02,Apple Pay
85,376,5054.97,2024-10-24,Apple Pay
86,385,38.77,2020-01-27,Gift Card
87,254,65441.48,2020-11-29,Gift Card
88,228,566.76,2024-09-27,Apple Pay
89,449,2260.94,2022-03-21,Credit Card
90,325,79.76,2023-10-15,Credit Card
91,483,86550.59,2022-09-21,Apple Pay
92,344,95390.09,2023-01-27,Apple Pay
93,322,879.04,2022-09-29,Apple Pay
94,449,7161.82,2022-09-20,Credit Card
95,56,63021.97,2021-07-09,Apple Pay
96,473,99.29,2023-10-25,Credit Card
97,494,686.01,2024-01-16,Apple Pay
98,193,93.84,2024-09-07,Credit Card
99,420,12251.16,2020-03-16,Gift Card
100,101,855.37,2023-02-17,Apple Pay
101,496,4.58,2021-07-24,Credit Card
102,8,3871.65,2024-12-22,Credit Card
103,391,48306.99,2022-09-17,Apple Pay
104,459,98711.58,2022-01-06,Apple Pay
105,24,1583.91,2020-07-13,Credit Card
106,483,543.92,2024-10-15,PayPal
107,132,74.19,2022-08-15,Gift Card
108,93,52150.6,2022-11-14,Gift Card
109,420,14116.29,2023-04-24,Gift Card
110,121,36.86,2024-02-28,Apple Pay
111,126,2.62,2020-05-07,Apple Pay
